Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-10-06 19:05:00,0.79515,0.79516,0.79512,0.79512,11,10,0
2025-10-06 19:06:00,0.79512,0.79524,0.79509,0.79524,18,10,0
2025-10-06 19:07:00,0.79522,0.79525,0.79519,0.7952,12,10,0
2025-10-06 19:08:00,0.79523,0.79523,0.7952,0.7952,18,10,0
2025-10-06 19:09:00,0.7952,0.79522,0.79516,0.79521,11,10,0
2025-10-06 19:10:00,0.7952,0.79521,0.79517,0.79517,12,10,0
2025-10-06 19:11:00,0.79516,0.7952,0.79513,0.79513,11,6,0
2025-10-06 19:12:00,0.79512,0.79514,0.7951,0.79514,9,10,0
2025-10-06 19:13:00,0.79514,0.79516,0.79512,0.79513,15,10,0
2025-10-06 19:14:00,0.79511,0.79511,0.7951,0.79511,7,10,0
2025-10-06 19:15:00,0.7951,0.79514,0.7951,0.79513,11,10,0
2025-10-06 19:16:00,0.79514,0.79519,0.79513,0.79514,14,10,0
2025-10-06 19:17:00,0.79514,0.79517,0.79513,0.79517,8,10,0
2025-10-06 19:18:00,0.79516,0.79517,0.79516,0.79517,6,10,0
2025-10-06 19:19:00,0.79517,0.79518,0.79515,0.79516,5,6,0
2025-10-06 19:20:00,0.79516,0.79519,0.79515,0.79515,13,10,0
2025-10-06 19:21:00,0.79516,0.79517,0.79511,0.79511,21,10,0
2025-10-06 19:22:00,0.7951,0.79514,0.7951,0.79511,13,10,0
2025-10-06 19:23:00,0.79511,0.79512,0.7951,0.7951,5,10,0
2025-10-06 19:24:00,0.7951,0.7951,0.79506,0.79508,5,10,0
2025-10-06 19:25:00,0.79511,0.79511,0.79507,0.79508,13,7,0
2025-10-06 19:26:00,0.79509,0.79509,0.79501,0.79506,9,10,0
2025-10-06 19:27:00,0.79506,0.79507,0.795,0.795,10,10,0
2025-10-06 19:28:00,0.795,0.795,0.79492,0.79495,23,10,0
2025-10-06 19:29:00,0.79495,0.79496,0.79493,0.79495,14,10,0
2025-10-06 19:30:00,0.79495,0.79497,0.79493,0.79495,13,10,0
2025-10-06 19:31:00,0.79495,0.79497,0.79493,0.79494,16,10,0
2025-10-06 19:32:00,0.79495,0.79495,0.79489,0.79489,10,7,0
2025-10-06 19:33:00,0.79489,0.79492,0.79488,0.7949,14,10,0
2025-10-06 19:34:00,0.79488,0.79495,0.79488,0.7949,17,10,0
2025-10-06 19:35:00,0.79491,0.79492,0.79484,0.79487,8,10,0
2025-10-06 19:36:00,0.79485,0.79486,0.79481,0.79485,13,10,0
2025-10-06 19:37:00,0.79485,0.79489,0.79485,0.79487,10,10,0
2025-10-06 19:38:00,0.79487,0.79489,0.79484,0.79484,17,10,0
2025-10-06 19:39:00,0.79485,0.79485,0.79478,0.79482,9,6,0
2025-10-06 19:40:00,0.79481,0.79482,0.79478,0.79478,4,10,0
2025-10-06 19:41:00,0.79479,0.7948,0.79477,0.79477,9,10,0
2025-10-06 19:42:00,0.79478,0.79483,0.79477,0.79481,20,10,0
2025-10-06 19:43:00,0.79482,0.79482,0.79478,0.79478,13,10,0
2025-10-06 19:44:00,0.79479,0.7948,0.79478,0.79478,6,10,0
2025-10-06 19:45:00,0.79479,0.79482,0.79474,0.79474,18,10,0
2025-10-06 19:46:00,0.79475,0.79482,0.79475,0.79478,16,10,0
2025-10-06 19:47:00,0.79478,0.79485,0.79478,0.79485,12,10,0
2025-10-06 19:48:00,0.79487,0.79492,0.79485,0.79491,13,10,0
2025-10-06 19:49:00,0.79492,0.79492,0.79485,0.79485,6,10,0
2025-10-06 19:50:00,0.79486,0.79488,0.79479,0.79479,10,10,0
2025-10-06 19:51:00,0.79481,0.79483,0.79478,0.79481,10,10,0
2025-10-06 19:52:00,0.79481,0.79482,0.79475,0.79475,12,10,0
2025-10-06 19:53:00,0.79476,0.79482,0.79476,0.79479,10,10,0
2025-10-06 19:54:00,0.7948,0.79489,0.7948,0.79482,11,10,0
2025-10-06 19:55:00,0.79483,0.79484,0.79482,0.79482,12,10,0
2025-10-06 19:56:00,0.79482,0.79489,0.79482,0.79487,14,10,0
2025-10-06 19:57:00,0.79488,0.79492,0.79487,0.79491,17,10,0
2025-10-06 19:58:00,0.79493,0.79495,0.79486,0.79492,27,10,0
2025-10-06 19:59:00,0.79493,0.79497,0.7949,0.79495,28,10,0
2025-10-06 20:00:00,0.79493,0.79507,0.79493,0.79506,21,10,0
2025-10-06 20:01:00,0.79506,0.79509,0.79505,0.79509,14,10,0
2025-10-06 20:02:00,0.79507,0.79513,0.795,0.79506,23,10,0
2025-10-06 20:03:00,0.79505,0.7951,0.79505,0.79506,11,10,0
2025-10-06 20:04:00,0.79506,0.79506,0.79496,0.79496,7,10,0
2025-10-06 20:05:00,0.79497,0.79498,0.79489,0.79489,9,9,0
2025-10-06 20:06:00,0.79492,0.79501,0.79491,0.79501,5,10,0
2025-10-06 20:07:00,0.79502,0.79504,0.79501,0.79504,5,9,0
2025-10-06 20:08:00,0.79505,0.79505,0.79498,0.79498,4,9,0
2025-10-06 20:09:00,0.79498,0.79498,0.79491,0.79491,7,10,0
2025-10-06 20:10:00,0.79492,0.79495,0.79491,0.79494,5,9,0
2025-10-06 20:11:00,0.79494,0.79495,0.79493,0.79494,6,8,0
2025-10-06 20:12:00,0.79497,0.79497,0.79495,0.79497,3,8,0
